symbol,bid_size,bid,ask,ask_size,lastPrice,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,underlying_asset,expiration,option_type,strike,date,underlying_asset_price
ALUC1000DI,0.0,0.0,15.0,10.0,7.5,7.098,-0.017,5.34,7.5,4.64,7.63,27563.0,46.0,12,16:51:00,ALUA,2024-12-20,C,1000.0,2024-11-11,
ALUC1050DI,0.0,0.0,0.0,0.0,3.5,3.5,0.3893999999999999,3.0,3.5,3.0,2.519,6500.0,20.0,3,16:59:00,ALUA,2024-12-20,C,1050.0,2024-11-11,
ALUC1100DI,0.0,0.0,0.0,0.0,2.5,2.769,-0.551,2.0,3.0,2.0,5.568,352455.0,1653.0,14,16:52:00,ALUA,2024-12-20,C,1100.0,2024-11-11,
ALUC1500DI,0.0,0.0,90.0,14.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0,,ALUA,2024-12-20,C,1500.0,2024-11-11,
ALUC550.DI,0.0,0.0,0.0,0.0,290.0,290.0,0.1110999999999999,289.93,290.0,278.89,261.0,18901968.0,668.0,106,16:58:00,ALUA,2024-12-20,C,550.0,2024-11-11,
ALUC700.DI,0.0,0.0,0.0,0.0,150.0,149.6,0.1951999999999999,150.0,150.0,148.0,125.497,89800.0,6.0,4,15:40:00,ALUA,2024-12-20,C,700.0,2024-11-11,
ALUC800.DI,0.0,0.0,0.0,0.0,64.18,64.18,-0.5573,62.0,64.18,61.05,145.0,131430.0,21.0,5,16:50:00,ALUA,2024-12-20,C,800.0,2024-11-11,
ALUC800.FE,0.0,0.0,0.0,0.0,135.0,135.0,-0.0689,135.0,135.0,135.0,145.0,67500.0,5.0,1,16:38:00,ALUA,2025-02-21,C,800.0,2024-11-11,
ALUC850.DI,0.0,0.0,0.0,0.0,41.0,41.0,0.1278999999999999,38.0,41.0,35.2,36.35,124972.0,33.0,10,16:21:00,ALUA,2024-12-20,C,850.0,2024-11-11,
ALUC900.AB,0.0,0.0,0.0,0.0,79.7,70.05,-0.3069,60.4,79.7,60.4,115.0,14010.0,2.0,2,13:01:00,ALUA,2025-04-16,C,900.0,2024-11-11,
ALUC900.DI,0.0,0.0,92.0,25.0,22.0,22.0,-0.1139,21.22,24.37,19.58,24.83,209777.0,102.0,15,16:51:00,ALUA,2024-12-20,C,900.0,2024-11-11,
ALUC900.FE,0.0,0.0,0.0,0.0,115.0,115.0,0.15,150.0,150.0,115.0,100.0,49500.0,4.0,4,13:45:00,ALUA,2025-02-21,C,900.0,2024-11-11,
ALUC950.DI,0.0,0.0,70.0,15.0,10.04,10.03,-0.1153999999999999,12.97,12.97,10.0,11.351,76416.0,71.0,12,15:55:00,ALUA,2024-12-20,C,950.0,2024-11-11,
ALUV800.DI,0.0,0.0,0.0,0.0,36.0,33.066,0.3392,28.43,36.79,28.43,26.88,276438.6,92.0,21,14:13:00,ALUA,2024-12-20,P,800.0,2024-11-11,
ALUV850.DI,0.0,0.0,0.0,0.0,67.08,67.01,0.6868000000000001,65.0,67.77,65.0,39.766,67010.0,10.0,6,14:12:00,ALUA,2024-12-20,P,850.0,2024-11-11,
